%   Generated By ERA Toolbox for Matlab ,By Chen yi, Chong Qing UnivercityBy Chen yi, Chong Qing Univercity
%   Jan.,24th,2004
 %   Chen_yi2000@sina.com
19-Oct-2019

Order        Eigenvalue(Re.)        Eigenvalue(Im.)        

1          -10.0239              188.496
     2          -9.87035              312.794
     3          -9.87035              315.524
     4          -9.73381              562.536
     5          -9.73381              568.437
     6          -9.70318              812.243
     7          -9.70318              821.385
     8          -9.7469              1061.98
     9          -9.7469              1074.3
     10          -9.84286              1311.78
     11          -9.84286              1327.16
     12          -9.95948              1561.67
     13          -9.95948              1579.92
     14          -10.0529              1811.65
     15          -10.0529              1832.59
     16          -10.0897              2061.71
     17          -10.0897              2085.19
     18          -10.0747              2311.81
     19          -10.0747              2337.75
     20          -10.0544              2561.95
     21          -10.0544              2590.26
     22          -9.58224              2811.17
     23          -9.58224              2843.69
     24          -9.22341              3061.28
     25          -9.22341              3096.24
     26          -9.93611              3314.91
     27          -9.93611              3345.26
     28          -8.90083              3562.68
     29          -8.90083              3600.15
     30          -8.60077              3812.75
     31          -8.60077              3852.73
     32          -8.30416              4062.85
     33          -8.30416              4105.29
     34          -7.99428              4312.95
     35          -7.99428              4357.84
     36          -7.66706              4563.06
     37          -7.66706              4610.39
     38          -7.33117              4813.16
     39          -7.33117              4862.95
     40          -6.99974              5063.23
     41          -6.99974              5115.53
     42          -6.6825              5313.3
     43          -6.6825              5368.11
     44          -6.38336              5563.36
     45          -6.38336              5620.71
     46          -6.10439              5813.41
     47          -6.10439              5873.32
     48          -5.85163              6063.44
     49          -5.85163              6125.94
     50          -5.63778              6313.45
     51          -5.63778              6378.58
     52          -5.48452              6563.44
     53          -5.48452              6631.25
     54          -5.42718              6813.42
     55          -5.42718              6883.92
     56          -48.7725              7100
     57          -5.5073              7189.09
     58          -5.5073              7262.23
     59          -5.73016              7439.23
     60          -5.73016              7514.75
     61          -5.98841              7689.59
     62          -5.98841              7767.05
     63          -4.67496              7932.31
     64          -4.67496              8026.98
     65          -4.48865              8182.74
     66          -4.48865              8279.2
     67          -4.32975              8433.16
     68          -4.32975              8531.44
     69          -4.19861              8683.57
     70          -4.19861              8783.68
     71          -4.88192              8938.5
     72          -4.88192              9031.41
     73          -4.09139              9185.32
     74          -4.09139              9287.25
     75          -5.10004              9442.01
     76          -5.10004              9533.21
     77          -4.00382              9687.07
     78          -4.00382              9790.81
     79          -3.93439              9937.49
     80          -3.93439              10043
     81          -5.32186              10196.8
     82          -5.32186              10286.4
     83          -3.88832              10439.2
     84          -3.88832              10546.6
     85          -5.54256              10700.3
     86          -5.54256              10788.2
     87          -3.87688              10941
     88          -3.87688              11050.2
     89          -3.91314              11191.3
     90          -3.91314              11302.5
     91          -5.7564              11455
     92          -5.7564              11541.4
     93          -4.19556              11686.7
     94          -4.00398              11818.7
     95          -4.00398              11931.7
     96          -4.08939              12069.1
     97          -4.08939              12184
     98          -4.19915              12315.8
     99          -4.19915              12440
     100          -4.11851              12570.8
     101          -4.11851              12687.6
     102          -4.20553              12819.2
     103          -4.20553              12941.9
     104          -4.20434              13071.2
     105          -4.20434              13192.5
     106          -4.15471              13324
     107          -4.15471              13442.3
     108          -4.18711              13574.6
     109          -4.18711              13694.4
     110          -5.95353              13843.4
     111          -5.95353              13928.3
     112          -6.14293              14097.6
     113          -6.14293              14176.7
     114          -6.11766              14346.8
     115          -6.11766              14430.2
     116          -5.0479              14582.7
     117          -5.0479              14696.9
     118          -6.22063              14850.1
     119          -6.22063              14932.2
     120          -6.22721              15102.2
     121          -6.22721              15182.8
     122          -10.0239              -62.8319
     123          -9.87035              -189.86
     124          -9.87035              -438.458
     125          -9.73381              -442.774
     126          -9.73381              -688.2
     127          -9.70318              -695.721
     128          -9.70318              -937.907
     129          -9.7469              -948.64
     130          -9.7469              -1187.64
     131          -9.84286              -1201.5
     132          -9.84286              -1437.44
     133          -9.95948              -1454.26
     134          -9.95948              -1687.33
     135          -10.0529              -1706.93
     136          -10.0529              -1937.32
     137          -10.0897              -1959.53
     138          -10.0897              -2187.38
     139          -10.0747              -2212.09
     140          -10.0747              -2437.47
     141          -10.0544              -2464.6
     142          -10.0544              -2687.62
     143          -9.58224              -2718.03
     144          -9.58224              -2936.84
     145          -9.22341              -2970.58
     146          -9.22341              -3186.94
     147          -9.93611              -3219.6
     148          -9.93611              -3440.58
     149          -8.90083              -3474.49
     150          -8.90083              -3688.34
     151          -8.60077              -3727.07
     152          -8.60077              -3938.42
     153          -8.30416              -3979.63
     154          -8.30416              -4188.51
     155          -7.99428              -4232.18
     156          -7.99428              -4438.62
     157          -7.66706              -4484.73
     158          -7.66706              -4688.73
     159          -7.33117              -4737.29
     160          -7.33117              -4938.82
     161          -6.99974              -4989.86
     162          -6.99974              -5188.9
     163          -6.6825              -5242.45
     164          -6.6825              -5438.96
     165          -6.38336              -5495.05
     166          -6.38336              -5689.02
     167          -6.10439              -5747.66
     168          -6.10439              -5939.07
     169          -5.85163              -6000.28
     170          -5.85163              -6189.1
     171          -5.63778              -6252.92
     172          -5.63778              -6439.11
     173          -5.48452              -6505.58
     174          -5.48452              -6689.1
     175          -5.42718              -6758.26
     176          -5.42718              -6939.08
     177          -48.7725              -6974.34
     178          -5.5073              -7136.57
     179          -5.5073              -7314.76
     180          -5.73016              -7389.09
     181          -5.73016              -7564.89
     182          -5.98841              -7641.38
     183          -5.98841              -7815.25
     184          -4.67496              -7901.32
     185          -4.67496              -8057.97
     186          -4.48865              -8153.54
