%  Generated By ERA Toolbox for Matlab ,By Chen yi, Chong Qing Univercity
%   Jan.,24th,2004
 %   Chen_yi2000@sina.com

19-Oct-2019

Order        Damper Ratio         Modal Freqency(Hz.)        

1          0.000305622                 10.1265
     2          0.000305753                 30.0424
     3          0.000308452                 30.258
     4          0.000308584                 49.8076
     5          0.000308907                 50.2418
     6          0.000309076                 69.8005
     7          0.000311821                 70.4866
     8          0.000311993                 89.5438
     9          0.000318586                 90.4829
     10          0.000318692                 109.541
     11          0.000321649                 110.738
     12          0.000321757                 129.282
     13          0.000324382                 130.737
     14          0.00032461                 149.281
     15          0.000324881                 150.989
     16          0.000324954                 169.026
     17          0.000327624                 170.988
     18          0.000327858                 189.026
     19          0.000328065                 191.23
     20          0.000328141                 208.782
     21          0.000335218                 211.23
     22          0.00033534                 228.781
     23          0.000335574                 231.458
     24          0.000335635                 248.552
     25          0.000337513                 251.458
     26          0.000337553                 268.552
     27          0.000338783                 271.671
     28          0.000338832                 288.338
     29          0.000339133                 291.671
     30          0.000339146                 308.338
     31          0.000340956                 311.872
     32          0.000340997                 328.136
     33          0.000343198                 331.872
     34          0.000343467                 348.135
     35          0.000345775                 352.068
     36          0.000346156                 367.939
     37          0.000346221                 372.068
     38          0.000346429                 387.939
     39          0.000349658                 392.256
     40          0.000350113                 407.75
     41          0.000350322                 412.256
     42          0.000350843                 427.75
     43          0.000354346                 432.591
     44          0.000354879                 447.414
     45          0.000359003                 452.591
     46          0.000359003                 467.414
     47          0.000368042                 472.785
     48          0.00036868                 487.22
     49          0.000372472                 492.785
     50          0.000373126                 507.22
     51          0.00039097                 512.418
     52          0.000391753                 527.587
     53          0.000395914                 532.417
     54          0.000396717                 547.587
     55          0.000408023                 552.984
     56          0.000408936                 567.019
     57          0.000408936                 572.984
     58          0.000410149                 587.019
     59          0.000412339                 593.183
     60          0.000413316                 606.82
     61          0.000413572                 613.183
     62          0.000414253                 626.82
     63          0.000415378                 633.379
     64          0.000416592                 646.623
     65          0.000418893                 653.379
     66          0.000420128                 666.623
     67          0.000422711                 673.573
     68          0.000423949                 686.429
     69          0.000426194                 693.573
     70          0.000426413                 706.429
     71          0.000427443                 713.767
     72          0.000427673                 726.235
     73          0.000430063                 733.767
     74          0.000431334                 746.235
     75          0.000431892                 753.963
     76          0.000433311                 766.039
     77          0.000435742                 773.963
     78          0.000437186                 786.038
     79          0.000439416                 794.162
     80          0.000440539                 805.84
     81          0.000445427                 814.162
     82          0.000446581                 825.84
     83          0.000476614                 834.363
     84          0.000478001                 845.639
     85          0.000483511                 854.363
     86          0.000484939                 865.639
     87          0.000497068                 874.565
     88          0.000498761                 885.437
     89          0.000502521                 894.565
     90          0.000504251                 905.436
     91          0.000505882                 914.768
     92          0.000507506                 925.233
     93          0.00051197                 934.768
     94          0.00051342                 945.233
     95          0.00051376                 954.974
     96          0.000515093                 965.027
     97          0.00051556                 974.974
     98          0.00051737                 985.027
     99          0.000517982                 995.183
     100          0.000519815                 1004.82
     101          0.000521914                 1015.18
     102          0.000523769                 1024.82
     103          0.000533049                 1035.4
     104          0.000534975                 1044.6
     105          0.000538596                 1055.4
     106          0.000540143                 1064.6
     107          0.000540253                 1075.61
     108          0.000540549                 1084.39
     109          0.000542122                 1095.61
     110          0.000542159                 1104.39
     111          0.000546168                 1110.03
     112          0.000548177                 1130.03
     113          0.00054855                 1135.82
     114          0.000550515                 1144.18
     115          0.000580165                 1155.82
     116          0.000582405                 1164.18
     117          0.000589356                 1176.01
     118          0.000591668                 1183.99
     119          0.000752902                 1196.01
     120          0.000757467                 1203.99
     121          0.000758347                 1216.16
     122          0.000762521                 1223.84
     123          0.000766063                 1236.16
     124          0.000766246                 1243.84
     125          0.000770262                 1257.53
     126          0.000771002                 1262.47
     127          0.000771701                 1277.53
     128          0.000775489                 1282.47
