%   Generated By ERA Toolbox for Matlab ,By Chen yi, Chong Qing UnivercityBy Chen yi, Chong Qing Univercity
%   Jan.,24th,2004
 %   Chen_yi2000@sina.com
19-Oct-2019

Order        System Modal Shape(Re)        System Modal Shape(Im)

1      0.508599          0
       2      -0.502372          -0.0565048
       3      -0.502372          0.0565048
       4      -0.487558          -0.121683
       5      -0.487558          0.121683
       6      -0.465013          -0.186938
       7      -0.465013          0.186938
       8      0.434717          0.248723
       9      0.434717          -0.248723
       10      -0.397617          -0.304963
       11      -0.397617          0.304963
       12      0.355523          0.35403
       13      0.355523          -0.35403
       14      -0.493419          -0.0956817
       15      -0.493419          0.0956817
       16      0.485926          0.132868
       17      0.485926          -0.132868
       18      0.477117          0.166962
       19      0.477117          -0.166962
       20      -0.469763          -0.194185
       21      -0.469763          0.194185
       22      0.449685          0.229261
       23      0.449685          -0.229261
       24      -0.439058          -0.24147
       25      -0.439058          0.24147
       26      -0.462217          -0.213128
       27      -0.462217          0.213128
       28      -0.430789          -0.250608
       29      -0.430789          0.250608
       30      -0.422147          -0.260897
       31      -0.422147          0.260897
       32      0.410372          0.276016
       33      0.410372          -0.276016
       34      -0.394002          -0.296697
       35      -0.394002          0.296697
       36      0.373232          0.320863
       37      0.373232          -0.320863
       38      -0.349507          -0.345487
       39      -0.349507          0.345487
       40      -0.462579          0.164493
       41      -0.462579          -0.164493
       42      0.471172          -0.137099
       43      0.471172          0.137099
       44      -0.477275          0.113854
       45      -0.477275          -0.113854
       46      -0.481428          0.0952533
       47      -0.481428          -0.0952533
       48      -0.48431          0.0805654
       49      -0.48431          -0.0805654
       50      0.486503          -0.0686186
       51      0.486503          0.0686186
       52      0.471507          0.140236
       53      0.471507          -0.140236
       54      0.449635          0.201872
       55      0.449635          -0.201872
       56      0.716925          0
       57      0.418756          0.262525
       58      0.418756          -0.262525
       59      -0.49406          0.0441914
       60      -0.49406          -0.0441914
       61      0.495286          -0.0429641
       62      0.495286          0.0429641
       63      0.464507          0.143673
       64      0.464507          -0.143673
       65      -0.452931          -0.177901
       66      -0.452931          0.177901
       67      -0.440432          -0.208229
       68      -0.440432          0.208229
       69      0.434121          -0.222188
       70      0.434121          0.222188
       71      -0.473786          -0.108933
       72      -0.473786          0.108933
       73      -0.218834          0.436286
       74      -0.218834          -0.436286
       75      -0.480268          -0.0768993
       76      -0.480268          0.0768993
       77      -0.267397          0.408983
       78      -0.267397          -0.408983
       79      -0.309935          0.37892
       80      -0.309935          -0.37892
       81      0.484215          0.049597
       82      0.484215          -0.049597
       83      -0.345097          0.349009
       84      -0.345097          -0.349009
       85      -0.486282          -0.0273585
       86      -0.486282          0.0273585
       87      -0.373992          0.320408
       88      -0.373992          -0.320408
       89      -0.398927          0.292298
       90      -0.398927          -0.292298
       91      -0.487157          -0.00921914
       92      -0.487157          0.00921914
       93      0.486049          0
       94      -0.421949          0.262663
       95      -0.421949          -0.262663
       96      -0.441995          0.228632
       97      -0.441995          -0.228632
       98      0.480385          -0.0772316
       99      0.480385          0.0772316
       100      -0.455608          0.1938
       101      -0.455608          -0.1938
       102      -0.46418          0.150122
       103      -0.46418          -0.150122
       104      0.439656          -0.215131
       105      0.439656          0.215131
       106      0.46629          -0.159673
       107      0.46629          0.159673
       108      -0.409981          0.270354
       109      -0.409981          -0.270354
       110      0.487369          -0.00619026
       111      0.487369          0.00619026
       112      -0.492982          0.0414837
       113      -0.492982          -0.0414837
       114      0.487308          -0.0196913
       115      0.487308          0.0196913
       116      0.470189          -0.249458
       117      0.470189          0.249458
       118      -0.487557          0.0308701
       119      -0.487557          -0.0308701
       120      -0.489358          0.0382207
       121      -0.489358          -0.0382207
       
