%   Generated By ERA Toolbox for Matlab ,By Chen yi, Chong Qing UnivercityBy Chen yi, Chong Qing Univercity
%   Jan.,24th,2004
 %   Chen_yi2000@sina.com
09-Feb-2004

Order        Eigenvalue(Re.)        Eigenvalue(Im.)        

1          -9.23091              188.496
     2          -9.23642              312.554
     3          -9.23642              315.764
     4          -9.2588              562.278
     5          -9.2588              568.696
     6          -9.30763              812.013
     7          -9.30763              821.615
     8          -9.38674              1061.78
     9          -9.38674              1074.5
     10          -9.49074              1311.6
     11          -9.49074              1327.33
     12          -9.59802              1561.51
     13          -9.59802              1580.08
     14          -9.66822              1811.51
     15          -9.66822              1832.74
     16          -9.6626              2061.57
     17          -9.6626              2085.33
     18          -9.57141              2311.66
     19          -9.57141              2337.9
     20          -9.41296              2561.74
     21          -9.41296              2590.47
     22          -9.21359              2811.81
     23          -9.21359              2843.06
     24          -8.99495              3061.87
     25          -8.99495              3095.66
     26          -8.76999              3311.92
     27          -8.76999              3348.26
     28          -8.54169              3561.98
     29          -8.54169              3600.85
     30          -8.30387              3812.06
     31          -8.30387              3853.42
     32          -8.04757              4062.16
     33          -8.04757              4105.98
     34          -7.7715              4312.27
     35          -7.7715              4358.53
     36          -7.48377              4562.37
     37          -7.48377              4611.08
     38          -7.19333              4812.47
     39          -7.19333              4863.63
     40          -6.90306              5062.57
     41          -6.90306              5116.19
     42          -6.61163              5312.67
     43          -6.61163              5368.74
     44          -6.32051              5562.76
     45          -6.32051              5621.31
     46          -6.03938              5812.83
     47          -6.03938              5873.9
     48          -5.7871              6062.87
     49          -5.7871              6126.51
     50          -5.58855              6312.88
     51          -5.58855              6379.16
     52          -27.5437              6576.8
     53          -27.5437              6617.89
     54          -5.4711              6814.2
     55          -5.4711              6883.14
     56          -5.45555              7064.22
     57          -5.45555              7135.78
     58          -5.54059              7314.3
     59          -5.54059              7388.36
     60          -5.7156              7564.48
     61          -5.7156              7640.83
     62          -5.94851              7814.81
     63          -5.94851              7893.15
     64          -6.1475              8065.32
     65          -6.1475              8145.29
     66          -5.43895              8312.3
     67          -5.43895              8400.98
     68          -5.22466              8562.81
     69          -5.22466              8653.11
     70          -5.0101              8813.31
     71          -5.0101              8905.27
     72          -5.65158              9067.07
     73          -5.65158              9154.16
     74          -4.79649              9315.12
     75          -4.79649              9408.77
     76          -5.8567              9570.49
     77          -5.8567              9656.05
     78          -4.58909              9816.91
     79          -4.58909              9912.29
     80          -4.39839              10067.3
     81          -4.39839              10164.5
     82          -6.04089              10325.2
     83          -6.04089              10409.3
     84          -4.23562              10569.1
     85          -4.23562              10668.1
     86          -4.10453              10819.5
     87          -4.10453              10920.3
     88          -3.99744              11070
     89          -3.99744              11172.5
     90          -3.90173              11320.4
     91          -3.90173              11424.7
     92          -3.81195              11570.8
     93          -3.81195              11676.9
     94          -3.73461              11821.3
     95          -3.73461              11929.2
     96          -3.68288              12071.7
     97          -3.68288              12181.4
     98          -3.66934              12322.1
     99          -3.66934              12433.6
     100          -3.70033              12572.5
     101          -3.70033              12685.9
     102          -3.76981              12823
     103          -3.76981              12938.1
     104          -3.85777              13073.5
     105          -3.85777              13190.2
     106          -9.59445              13320.4
     107          -3.94006              13449.7
     108          -3.94006              13568
     109          -4.00158              13700.3
     110          -4.00158              13820.1
     111          -4.0391              13950.9
     112          -4.0391              14072.1
     113          -4.05668              14201.5
     114          -4.05668              14324.2
     115          -4.06199              14452.1
     116          -4.06199              14576.2
     117          -4.06268              14702.7
     118          -6.17847              14849.8
     119          -6.17847              14932.5
     120          -6.22756              15101.8
     121          -6.22756              15183.2
     122          -9.23091              -62.8319
     123          -9.23642              -190.1
     124          -9.23642              -438.218
     125          -9.2588              -443.032
     126          -9.2588              -687.941
     127          -9.30763              -695.952
     128          -9.30763              -937.677
     129          -9.38674              -948.839
     130          -9.38674              -1187.44
     131          -9.49074              -1201.67
     132          -9.49074              -1437.27
     133          -9.59802              -1454.42
     134          -9.59802              -1687.17
     135          -9.66822              -1707.08
     136          -9.66822              -1937.17
     137          -9.6626              -1959.67
     138          -9.6626              -2187.23
     139          -9.57141              -2212.23
     140          -9.57141              -2437.32
     141          -9.41296              -2464.8
     142          -9.41296              -2687.41
     143          -9.21359              -2717.39
     144          -9.21359              -2937.48
     145          -8.99495              -2969.99
     146          -8.99495              -3187.53
     147          -8.76999              -3222.59
     148          -8.76999              -3437.58
     149          -8.54169              -3475.19
     150          -8.54169              -3687.64
     151          -8.30387              -3727.76
     152          -8.30387              -3937.73
     153          -8.04757              -3980.31
     154          -8.04757              -4187.83
     155          -7.7715              -4232.86
     156          -7.7715              -4437.93
     157          -7.48377              -4485.42
     158          -7.48377              -4688.04
     159          -7.19333              -4737.97
     160          -7.19333              -4938.14
     161          -6.90306              -4990.52
     162          -6.90306              -5188.24
     163          -6.61163              -5243.08
     164          -6.61163              -5438.34
     165          -6.32051              -5495.64
     166          -6.32051              -5688.43
     167          -6.03938              -5748.23
     168          -6.03938              -5938.49
     169          -5.7871              -6000.85
     170          -5.7871              -6188.53
     171          -5.58855              -6253.49
     172          -5.58855              -6438.54
     173          -27.5437              -6492.23
     174          -27.5437              -6702.46
     175          -5.4711              -6757.48
     176          -5.4711              -6939.86
     177          -5.45555              -7010.12
     178          -5.45555              -7189.88
     179          -5.54059              -7262.69
     180          -5.54059              -7439.96
     181          -5.7156              -7515.17
     182          -5.7156              -7690.14
     183          -5.94851              -7767.49
     184          -5.94851              -7940.47
     185          -6.1475              -8019.63
     186          -6.1475              -8190.99
     187          -5.43895              -8275.31
     188          -5.43895              -8437.96
     189          -5.22466              -8527.45
     190          -5.22466              -8688.48
     191          -5.0101              -8779.61
     192          -5.0101              -8938.98
     193          -5.65158              -9028.5
     194          -5.65158              -9192.74
     195          -4.79649              -9283.11
     196          -4.79649              -9440.79
     197          -5.8567              -9530.39
     198          -5.8567              -9696.16
     199          -4.58909              -9786.63
     200          -4.58909              -9942.57
     201          -4.39839              -10038.8
     202          -4.39839              -10193
     203          -6.04089              -10283.6
     204          -6.04089              -10450.9
     205          -4.23562              -10542.4
     206          -4.23562              -10694.8
     207          -4.10453              -10794.6
     208          -4.10453              -10945.2
     209          -3.99744              -11046.9
     210          -3.99744              -11195.6
     211          -3.90173              -11299.1
     212          -3.90173              -11446.1
     213          -3.81195              -11551.3
     214          -3.81195              -11696.5
     215          -3.73461              -11803.5
     216          -3.73461              -11946.9
     217          -3.68288              -12055.7
     218          -3.68288              -12197.4
     219          -3.66934              -12308
     220          -3.66934              -12447.8
     221          -3.70033              -12560.2
     222          -3.70033              -12698.2
     223          -3.76981              -12812.4
     224          -3.76981              -12948.7
     225          -3.85777              -13064.6
     226          -3.85777              -13199.2
     227          -9.59445              -13320.4
     228          -3.94006              -13442.3
     229          -3.94006              -13575.4
     230          -4.00158              -13694.4
     231          -4.00158              -13826
     232          -4.0391              -13946.5
     233          -4.0391              -14076.6
     234          -4.05668              -14198.5
     235          -4.05668              -14327.1
     236          -4.06199              -14450.6
     237          -4.06199              -14577.7
     238          -4.06268              -14702.7
     239          -6.17847              -14806.8
     240          -6.17847              -14975.5
     241          -6.22756              -15057.5
     242          -6.22756              -15227.5
     
