%  Generated By ERA Toolbox for Matlab ,By Chen yi, Chong Qing Univercity
%   Jan.,24th,2004
 %   Chen_yi2000@sina.com

09-Feb-2004

Order        Damper Ratio         Modal Freqency(Hz.)        

1          0.000276323                 10.1073
     2          0.000276323                 30.036
     3          0.000278644                 30.2911
     4          0.000278672                 49.7663
     5          0.000281066                 50.2769
     6          0.000281095                 69.7601
     7          0.000283146                 70.5261
     8          0.000283205                 89.5014
     9          0.000285652                 90.5227
     10          0.000285712                 109.499
     11          0.000286938                 110.774
     12          0.000287028                 129.244
     13          0.000289425                 130.773
     14          0.000289523                 149.243
     15          0.000289549                 151.02
     16          0.000289615                 168.994
     17          0.000290236                 171.019
     18          0.000290394                 188.993
     19          0.000291136                 191.258
     20          0.000291374                 208.754
     21          0.000291406                 211.257
     22          0.000291689                 228.753
     23          0.00029208                 231.483
     24          0.000292206                 248.527
     25          0.000292274                 251.483
     26          0.000292472                 268.526
     27          0.000292948                 271.694
     28          0.000293109                 288.314
     29          0.000293989                 291.694
     30          0.000294232                 308.314
     31          0.000294319                 311.895
     32          0.000294608                 328.113
     33          0.000294779                 331.894
     34          0.000295083                 348.113
     35          0.000295114                 352.091
     36          0.000295286                 367.915
     37          0.000297786                 372.091
     38          0.000298127                 387.915
     39          0.000301941                 392.289
     40          0.000302336                 407.717
     41          0.000305084                 412.288
     42          0.000305487                 427.717
     43          0.0003126                 432.489
     44          0.000313066                 447.516
     45          0.000315923                 452.489
     46          0.000316399                 467.516
     47          0.000325905                 472.691
     48          0.000326451                 487.313
     49          0.000329444                 492.691
     50          0.000330002                 507.313
     51          0.00034088                 512.894
     52          0.000341516                 527.11
     53          0.000344664                 532.894
     54          0.000345314                 547.11
     55          0.000357054                 553.095
     56          0.000357792                 566.909
     57          0.000361107                 573.095
     58          0.000361862                 586.908
     59          0.000375007                 593.293
     60          0.000375862                 606.71
     61          0.000379363                 613.293
     62          0.000380238                 626.71
     63          0.000396046                 633.488
     64          0.000397037                 646.515
     65          0.000400755                 653.488
     66          0.00040177                 666.515
     67          0.000408969                 673.682
     68          0.000410162                 686.32
     69          0.000412372                 693.682
     70          0.000412573                 706.32
     71          0.000413585                 713.877
     72          0.00041376                 726.125
     73          0.000416064                 733.877
     74          0.000417272                 746.125
     75          0.00043151                 754.072
     76          0.00043272                 765.93
     77          0.000436897                 774.072
     78          0.000438137                 785.93
     79          0.000461559                 794.267
     80          0.000462969                 805.734
     81          0.000467468                 814.267
     82          0.000468914                 825.734
     83          0.000508061                 834.462
     84          0.000509789                 845.539
     85          0.000514915                 854.462
     86          0.00051669                 865.539
     87          0.000560478                 874.66
     88          0.000562599                 885.342
     89          0.00056847                 894.66
     90          0.000570652                 905.342
     91          0.000578028                 914.86
     92          0.000580336                 925.141
     93          0.000585063                 934.86
     94          0.000587428                 945.141
     95          0.000601332                 955.065
     96          0.00060379                 964.936
     97          0.000604023                 975.065
     98          0.000606532                 984.936
     99          0.000610157                 995.275
     100          0.000611954                 1004.73
     101          0.000612687                 1015.28
     102          0.000614529                 1024.73
     103          0.000614787                 1033.28
     104          0.000617378                 1046.74
     105          0.000623308                 1053.28
     106          0.000625971                 1066.74
     107          0.000644581                 1075.49
     108          0.000647419                 1084.51
     109          0.000654326                 1095.49
     110          0.00065725                 1104.51
     111          0.000720285                 1115.7
     112          0.000720285                 1124.31
     113          0.000743238                 1135.7
     114          0.000744706                 1144.31
     115          0.000748034                 1155.89
     116          0.000749138                 1164.11
     117          0.000749908                 1175.89
     118          0.000750519                 1184.11
     119          0.000753629                 1196.08
     120          0.000754729                 1203.92
     121          0.000755585                 1216.08
     122          0.0007575                 1223.92
     123          0.000758781                 1236.23
     124          0.000760542                 1243.77
     125          0.000761184                 1256.23
     126          0.000762213                 1263.77
     127          0.000762883                 1276.36
     128          0.000764534                 1283.64
     129          0.000765821                 1296.36
     130          0.000766556                 1303.64
     131          0.000772279                 1317.06
     132          0.000778239                 1322.94
     133          0.000788358                 1337.06
     134          0.000794855                 1342.94
     135          0.000802897                 1357.19
     136          0.000809636                 1362.81
     137          0.000867983                 1377.19
     138          0.000876063                 1382.81
     139          0.000885261                 1397.32
     140          0.000893668                 1402.68
     141          0.000935134                 1417.32
     142          0.0009446                 1422.68
     143          0.000954516                 1436.93
     144          0.00096438                 1443.07
     145          0.00101699                 1456.93
     146          0.00102817                 1463.07
     147          0.00103897                 1477.45
     148          0.00105065                 1482.55
     149          0.00111112                 1497.45
     150          0.00112438                 1502.55
