%   Generated By ERA Toolbox for Matlab ,By Chen yi, Chong Qing UnivercityBy Chen yi, Chong Qing Univercity
%   Jan.,24th,2004
 %   Chen_yi2000@sina.com
09-Feb-2004

Order        System Modal Shape(Re)        System Modal Shape(Im)

1      -1.22202          0
       2      0.190761          -1.18256
       3      0.190761          1.18256
       4      0.59468          -0.736911
       5      0.59468          0.736911
       6      -0.955312          0.0400414
       7      -0.955312          -0.0400414
       8      -0.437862          -0.859264
       9      -0.437862          0.859264
       10      -0.7095          -0.920951
       11      -0.7095          0.920951
       12      0.659424          0.903279
       13      0.659424          -0.903279
       14      1.02996          -0.431407
       15      1.02996          0.431407
       16      -1.27331          -0.033756
       17      -1.27331          0.033756
       18      -1.09383          -0.734051
       19      -1.09383          0.734051
       20      -1.10265          0.370651
       21      -1.10265          -0.370651
       22      -1.47437          -0.610352
       23      -1.47437          0.610352
       24      0.474908          1.17082
       25      0.474908          -1.17082
       26      0.761929          -1.54209
       27      0.761929          1.54209
       28      1.26834          -0.294922
       29      1.26834          0.294922
       30      1.03228          -1.11317
       31      1.03228          1.11317
       32      0.339766          -1.37156
       33      0.339766          1.37156
       34      0.275081          1.28394
       35      0.275081          -1.28394
       36      0.805909          1.15585
       37      0.805909          -1.15585
       38      0.765074          -1.1353
       39      0.765074          1.1353
       40      -1.33535          -0.311478
       41      -1.33535          0.311478
       42      0.218998          1.45364
       43      0.218998          -1.45364
       44      -0.739603          -1.31874
       45      -0.739603          1.31874
       46      -0.938034          0.986738
       47      -0.938034          -0.986738
       48      -0.685857          1.17922
       49      -0.685857          -1.17922
       50      0.509453          -1.33407
       51      0.509453          1.33407
       52      0.191273          -2.28538
       53      0.191273          2.28538
       54      -0.517476          -1.24318
       55      -0.517476          1.24318
       56      -1.23332          0.563232
       57      -1.23332          -0.563232
       58      -0.735756          -1.26229
       59      -0.735756          1.26229
       60      -1.10889          0.901076
       61      -1.10889          -0.901076
       62      -0.995869          0.983731
       63      -0.995869          -0.983731
       64      0.975598          -0.97399
       65      0.975598          0.97399
       66      -1.43333          -0.389823
       67      -1.43333          0.389823
       68      -0.177546          1.67156
       69      -0.177546          -1.67156
       70      -1.43554          0.036483
       71      -1.43554          -0.036483
       72      0.47997          -1.31768
       73      0.47997          1.31768
       74      0.60922          -1.36816
       75      0.60922          1.36816
       76      -0.100488          -1.69392
       77      -0.100488          1.69392
       78      0.512098          1.13794
       79      0.512098          -1.13794
       80      1.30472          -0.253022
       81      1.30472          0.253022
       82      1.62586          0.163349
       83      1.62586          -0.163349
       84      1.18829          -0.848084
       85      1.18829          0.848084
       86      1.49576          -0.263771
       87      1.49576          0.263771
       88      -1.43097          -0.463654
       89      -1.43097          0.463654
       90      1.18911          -0.993121
       91      1.18911          0.993121
       92      -1.30937          0.0602019
       93      -1.30937          -0.0602019
       94      -1.15473          -0.879993
       95      -1.15473          0.879993
       96      -0.147062          -1.2953
       97      -0.147062          1.2953
       98      -1.04416          1.03938
       99      -1.04416          -1.03938
       100      -0.284789          1.20499
       101      -0.284789          -1.20499
       102      -0.277539          -1.36582
       103      -0.277539          1.36582
       104      -1.39373          0.724207
       105      -1.39373          -0.724207
       106      2.57728          0
       107      1.26163          0.123657
       108      1.26163          -0.123657
       109      -0.437173          1.09329
       110      -0.437173          -1.09329
       111      0.750245          0.998843
       112      0.750245          -0.998843
       113      1.00166          0.223034
       114      1.00166          -0.223034
       115      1.27597          -0.136454
       116      1.27597          0.136454
       117      1.3398          0
       118      0.580535          1.32584
       119      0.580535          -1.32584
       120      0.644727          1.31234
       121      0.644727          -1.31234
       
